Time [h],Current [A],Terminal voltage [V],Discharge capacity [A.h],X-averaged cell temperature [K]
0.0,0.1361232,3.832072581223972,0.0,298.15
0.016666666666666666,0.1361232,3.827954800657359,0.00226872,298.15
0.03333333333333333,0.1361232,3.826178071568055,0.00453744,298.15
0.05,0.1361232,3.824655289462042,0.00680616,298.15
0.06666666666666667,0.1361232,3.8231897604738294,0.00907488,298.15
0.08333333333333333,0.1361232,3.8217431687384154,0.0113436,298.15
0.1,0.1361232,3.820305307617777,0.01361232,298.15
0.11666666666666667,0.1361232,3.818873292320588,0.01588104,298.15
0.13333333333333333,0.1361232,3.817446183111579,0.018149759999999997,298.15
0.15,0.1361232,3.816023876599228,0.020418479999999996,298.15
0.16666666666666666,0.1361232,3.814606618739428,0.022687199999999994,298.15
0.18333333333333332,0.1361232,3.813194738051199,0.024955919999999993,298.15
0.2,0.1361232,3.811788617979154,0.027224639999999994,298.15
0.21666666666666667,0.1361232,3.810388689047204,0.029493359999999993,298.15
0.23333333333333334,0.1361232,3.8089953935203305,0.03176207999999999,298.15
0.25,0.1361232,3.8076091553722886,0.03403079999999999,298.15
0.26666666666666666,0.1361232,3.8062303936875024,0.036299519999999995,298.15
0.2833333333333333,0.1361232,3.804859511066604,0.03856824,298.15
0.3,0.1361232,3.803496894404477,0.04083696,298.15
0.31666666666666665,0.1361232,3.8021429175110977,0.04310568,298.15
0.3333333333333333,0.1361232,3.8007979275372143,0.0453744,298.15
0.35,0.1361232,3.7994622491610475,0.047643120000000004,298.15
0.36666666666666664,0.1361232,3.798136196193203,0.049911840000000006,298.15
0.3833333333333333,0.1361232,3.7968200595541854,0.05218056000000001,298.15
0.4,0.1361232,3.7955141147579705,0.05444928000000002,298.15
0.41666666666666663,0.1361232,3.7942186160145903,0.05671800000000001,298.15
0.43333333333333335,0.1361232,3.792933800121324,0.05898672000000002,298.15
0.44999999999999996,0.1361232,3.7916598850426086,0.061255440000000015,298.15
0.4666666666666667,0.1361232,3.7903970778001206,0.06352416000000002,298.15
0.48333333333333334,0.1361232,3.78914556273703,0.06579288000000001,298.15
0.5,0.1361232,3.787905507470695,0.06806160000000001,298.15
0.5166666666666666,0.1361232,3.7866770692647576,0.07033032,298.15
0.5333333333333333,0.1361232,3.7854603824754354,0.07259904,298.15
0.55,0.1361232,3.7842555682099785,0.07486776,298.15
0.5666666666666667,0.1361232,3.7830627485558566,0.07713648,298.15
0.5833333333333334,0.1361232,3.781882013291017,0.0794052,298.15
0.6,0.1361232,3.7807134447008157,0.08167391999999998,298.15
0.6166666666666667,0.1361232,3.779557119773523,0.08394263999999999,298.15
0.6333333333333333,0.1361232,3.778413091729253,0.08621135999999997,298.15
0.65,0.1361232,3.7772814068024747,0.08848007999999997,298.15
0.6666666666666666,0.1361232,3.776162106014806,0.09074879999999996,298.15
0.6833333333333333,0.1361232,3.7750552081579425,0.09301751999999996,298.15
0.7,0.1361232,3.7739607286267733,0.09528623999999995,298.15
0.7166666666666667,0.1361232,3.7728786774243024,0.09755495999999995,298.15
0.7333333333333333,0.1361232,3.771809044074604,0.09982367999999994,298.15
0.75,0.1361232,3.770751814728821,0.10209239999999994,298.15
0.7666666666666666,0.1361232,3.769706968195456,0.10436111999999993,298.15
0.7833333333333333,0.1361232,3.7686744706725213,0.10662983999999993,298.15
0.8,0.1361232,3.7676542783697573,0.10889855999999994,298.15
0.8166666666666668,0.1361232,3.766646338491818,0.11116727999999994,298.15
0.8333333333333333,0.1361232,3.7656505908231463,0.11343599999999993,298.15
0.85,0.1361232,3.7646669699424167,0.11570471999999993,298.15
0.8666666666666667,0.1361232,3.763695401406146,0.11797343999999993,298.15
0.8833333333333334,0.1361232,3.762735802929604,0.12024215999999993,298.15
0.8999999999999999,0.1361232,3.7617880850057723,0.12251087999999992,298.15
0.9166666666666666,0.1361232,3.7608521522006413,0.12477959999999992,298.15
0.9333333333333333,0.1361232,3.759927902491334,0.12704831999999994,298.15
0.9500000000000001,0.1361232,3.7590152111551753,0.12931703999999994,298.15
0.9666666666666667,0.1361232,3.7581139572749303,0.1315857599999999,298.15
0.9833333333333333,0.1361232,3.7572240074904664,0.13385447999999991,298.15
1.0,0.1361232,3.756345230437957,0.13612319999999992,298.15
1.0166666666666668,0.1361232,3.7554774777193316,0.13839191999999992,298.15
1.0333333333333332,0.1361232,3.7546206018763884,0.1406606399999999,298.15
1.05,0.1361232,3.753774475776363,0.1429293599999999,298.15
1.0666666666666667,0.1361232,3.752938949938172,0.1451980799999999,298.15
1.0833333333333335,0.1361232,3.7521138780879597,0.1474667999999999,298.15
1.1,0.1361232,3.7512990998499927,0.1497355199999999,298.15
1.1166666666666667,0.1361232,3.7504944697446954,0.15200423999999987,298.15
1.1333333333333333,0.1361232,3.749699834103357,0.15427295999999988,298.15
1.1500000000000001,0.1361232,3.7489150348892104,0.15654167999999988,298.15
1.1666666666666667,0.1361232,3.7481399171491674,0.15881039999999988,298.15
1.1833333333333333,0.1361232,3.747374359880188,0.16107911999999985,298.15
1.2,0.1361232,3.7466182720189707,0.16334783999999986,298.15
1.2166666666666668,0.1361232,3.7458715468527215,0.16561655999999986,298.15
1.2333333333333334,0.1361232,3.7451340828279047,0.16788527999999986,298.15
1.25,0.1361232,3.744405794296145,0.17015399999999983,298.15
1.2666666666666666,0.1361232,3.743686625955103,0.17242271999999984,298.15
1.2833333333333334,0.1361232,3.742976393954054,0.17469143999999984,298.15
1.3,0.1361232,3.7422749447855166,0.17696015999999984,298.15
